Date,Units Sold,Inventory Level,Units Ordered,Demand,Price,Competitor Pricing,Discount,Promotion,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny
2022-01-01,8601,19383,20635,10060,68.67,70.85,6.45,15.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-02,7684,12385,18801,10814,70.38,72.5,7.35,20.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-03,5965,10356,9722,11317,69.79,72.13,9.15,35.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-04,7859,18071,9789,11469,69.84,72.05,10.3,45.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-05,9621,27152,7392,11724,66.82,68.61,14.35,70.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-06,9503,33795,9032,10938,69.6,72.19,7.5,25.0,0,Winter,0.0,0.0,60.0,40.0
2022-01-07,10045,33357,9413,11584,69.5,71.94,10.0,40.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-08,9980,33295,11944,12060,69.11,71.3,12.55,60.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-09,9661,31253,8547,11427,70.95,72.82,7.75,15.0,0,Winter,40.0,0.0,0.0,60.0
2022-01-10,9928,31528,10209,11523,70.62,72.73,8.85,30.0,0,Winter,100.0,0.0,0.0,0.0
2022-01-11,9957,31511,13993,12104,70.57,73.32,10.0,40.0,0,Winter,60.0,0.0,0.0,40.0
2022-01-12,9279,30213,8996,11019,67.69,68.34,10.3,40.0,0,Winter,0.0,0.0,80.0,20.0
2022-01-13,9904,33647,8626,10990,68.91,68.71,10.8,40.0,0,Winter,100.0,0.0,0.0,0.0
2022-01-14,9507,32696,10580,11399,69.98,70.48,9.0,30.0,0,Winter,40.0,0.0,20.0,40.0
2022-01-15,9566,35544,8274,11436,69.44,71.93,9.35,30.0,0,Winter,0.0,0.0,40.0,60.0
2022-01-16,9218,35096,6141,10629,68.14,69.96,9.3,35.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-17,10074,36996,10469,12036,68.6,72.53,9.95,45.0,0,Winter,20.0,0.0,40.0,40.0
2022-01-18,9444,35068,7809,10651,66.44,68.14,10.5,45.0,0,Winter,40.0,0.0,60.0,0.0
2022-01-19,8689,32049,10119,10878,69.7,69.93,7.6,25.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-20,9489,34501,8713,10822,67.66,69.78,10.25,40.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-21,9905,30812,9881,11327,69.5,70.83,9.5,35.0,0,Winter,0.0,0.0,40.0,60.0
2022-01-22,9908,30736,10913,12024,69.67,72.83,10.95,50.0,0,Winter,20.0,0.0,20.0,60.0
2022-01-23,8721,30700,9730,10515,68.2,71.48,8.85,35.0,0,Winter,40.0,0.0,40.0,20.0
