Date,Units Sold,Demand,Competitor Pricing,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny
2022-01-01,8601,10060,70.85,0,Winter,20.0,0.0,60.0,20.0
2022-01-02,7684,10814,72.5,0,Winter,40.0,0.0,40.0,20.0
2022-01-03,5965,11317,72.13,0,Winter,40.0,0.0,40.0,20.0
2022-01-04,7859,11469,72.05,0,Winter,40.0,0.0,40.0,20.0
2022-01-05,9621,11724,68.61,0,Winter,20.0,0.0,60.0,20.0
2022-01-06,9503,10938,72.19,0,Winter,0.0,0.0,60.0,40.0
2022-01-07,10045,11584,71.94,0,Winter,40.0,0.0,40.0,20.0
2022-01-08,9980,12060,71.3,0,Winter,40.0,0.0,40.0,20.0
2022-01-09,9661,11427,72.82,0,Winter,40.0,0.0,0.0,60.0
2022-01-10,9928,11523,72.73,0,Winter,100.0,0.0,0.0,0.0
2022-01-11,9957,12104,73.32,0,Winter,60.0,0.0,0.0,40.0
2022-01-12,9279,11019,68.34,0,Winter,0.0,0.0,80.0,20.0
2022-01-13,9904,10990,68.71,0,Winter,100.0,0.0,0.0,0.0
2022-01-14,9507,11399,70.48,0,Winter,40.0,0.0,20.0,40.0
2022-01-15,9566,11436,71.93,0,Winter,0.0,0.0,40.0,60.0
2022-01-16,9218,10629,69.96,0,Winter,40.0,0.0,40.0,20.0
2022-01-17,10074,12036,72.53,0,Winter,20.0,0.0,40.0,40.0
2022-01-18,9444,10651,68.14,0,Winter,40.0,0.0,60.0,0.0
2022-01-19,8689,10878,69.93,0,Winter,40.0,0.0,40.0,20.0
2022-01-20,9489,10822,69.78,0,Winter,20.0,0.0,60.0,20.0
2022-01-21,9905,11327,70.83,0,Winter,0.0,0.0,40.0,60.0
2022-01-22,9908,12024,72.83,0,Winter,20.0,0.0,20.0,60.0
2022-01-23,8721,10515,71.48,0,Winter,40.0,0.0,40.0,20.0
2022-01-24,8822,10570,69.62,0,Winter,40.0,0.0,40.0,20.0
2022-01-25,8434,9818,69.65,0,Winter,20.0,0.0,80.0,0.0
2022-01-26,9271,10584,69.16,0,Winter,60.0,0.0,40.0,0.0
2022-01-27,9276,10659,70.77,0,Winter,60.0,0.0,40.0,0.0
2022-01-28,8945,10522,70.19,0,Winter,20.0,0.0,40.0,40.0
2022-01-29,9655,11064,74.52,0,Winter,20.0,0.0,0.0,80.0
2022-01-30,7992,9553,71.37,0,Winter,40.0,0.0,60.0,0.0
2022-01-31,8592,10028,71.88,0,Winter,60.0,0.0,0.0,40.0
2022-02-01,9599,10791,67.56,0,Winter,0.0,0.0,100.0,0.0
2022-02-02,10746,12698,73.79,0,Winter,40.0,0.0,0.0,60.0
2022-02-03,10531,12779,71.78,0,Winter,80.0,0.0,0.0,20.0
2022-02-04,9757,11363,73.43,0,Winter,20.0,0.0,40.0,40.0
2022-02-05,10085,11914,71.98,0,Winter,40.0,0.0,0.0,60.0
2022-02-06,9298,11354,71.0,0,Winter,40.0,0.0,20.0,40.0
2022-02-07,9472,11024,70.93,0,Winter,0.0,0.0,60.0,40.0
2022-02-08,10074,11473,70.37,0,Winter,0.0,0.0,60.0,40.0
2022-02-09,10699,12391,73.3,0,Winter,20.0,0.0,0.0,80.0
2022-02-10,9761,11510,71.73,0,Winter,40.0,0.0,20.0,40.0
2022-02-11,9615,11491,73.73,0,Winter,20.0,0.0,20.0,60.0
2022-02-12,9918,12058,72.98,0,Winter,20.0,0.0,40.0,40.0
2022-02-13,8646,10607,70.52,0,Winter,40.0,0.0,60.0,0.0
2022-02-14,10173,12494,70.19,0,Winter,40.0,0.0,40.0,20.0
2022-02-15,9453,10727,67.66,0,Winter,20.0,0.0,80.0,0.0
2022-02-16,9800,11804,73.31,0,Winter,40.0,0.0,20.0,40.0
2022-02-17,9428,10857,73.07,0,Winter,40.0,0.0,20.0,40.0
2022-02-18,10017,11757,74.93,0,Winter,0.0,0.0,0.0,100.0
2022-02-19,10253,11873,73.93,0,Winter,40.0,0.0,0.0,60.0
2022-02-20,9483,11170,70.49,0,Winter,40.0,0.0,20.0,40.0
2022-02-21,9242,10619,69.13,0,Winter,40.0,0.0,40.0,20.0
2022-02-22,8861,10973,72.42,0,Winter,20.0,0.0,20.0,60.0
2022-02-23,9999,11769,71.46,0,Winter,0.0,0.0,40.0,60.0
2022-02-24,8940,10232,68.69,0,Winter,20.0,0.0,80.0,0.0
2022-02-25,8900,10152,71.15,0,Winter,40.0,0.0,60.0,0.0
2022-02-26,9367,10514,70.53,0,Winter,80.0,0.0,20.0,0.0
2022-02-27,10040,12841,72.19,0,Winter,0.0,0.0,40.0,60.0
2022-02-28,8951,10648,70.63,0,Winter,40.0,0.0,60.0,0.0
2022-03-01,10050,11914,73.04,0,Spring,0.0,20.0,0.0,80.0
2022-03-02,8775,10250,69.74,0,Spring,80.0,20.0,0.0,0.0
2022-03-03,10192,11758,71.84,0,Spring,0.0,40.0,0.0,60.0
2022-03-04,10323,12275,72.78,0,Spring,60.0,0.0,0.0,40.0
2022-03-05,10557,12275,73.82,0,Spring,20.0,20.0,0.0,60.0
2022-03-06,9349,11354,73.14,0,Spring,20.0,60.0,0.0,20.0
2022-03-07,9916,11452,69.53,0,Spring,40.0,20.0,0.0,40.0
2022-03-08,10365,11498,72.06,0,Spring,80.0,0.0,0.0,20.0
2022-03-09,9960,11929,70.78,0,Spring,0.0,40.0,0.0,60.0
2022-03-10,9335,10574,69.79,0,Spring,0.0,100.0,0.0,0.0
2022-03-11,9495,10640,69.54,0,Spring,20.0,80.0,0.0,0.0
2022-03-12,11518,12860,72.67,0,Spring,40.0,0.0,0.0,60.0
2022-03-13,9555,11547,71.82,0,Spring,0.0,20.0,0.0,80.0
2022-03-14,8768,10779,70.67,0,Spring,80.0,20.0,0.0,0.0
2022-03-15,10246,11765,71.55,0,Spring,0.0,40.0,0.0,60.0
2022-03-16,9999,11852,69.91,0,Spring,40.0,40.0,0.0,20.0
2022-03-17,9433,11421,69.4,0,Spring,60.0,20.0,0.0,20.0
2022-03-18,9402,10765,68.73,0,Spring,0.0,80.0,0.0,20.0
