Date,Units Sold,Inventory Level,Units Ordered,Demand,Price,Competitor Pricing,Discount,Promotion,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny
2022-01-01,509,865,1325,527,42.51,45.49,7.0,0.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-02,258,470,292,338,38.98,42.92,6.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-03,208,423,229,365,42.36,45.48,5.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-04,375,1507,93,359,39.74,42.74,8.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-05,431,1225,725,464,36.98,36.61,17.0,100.0,0,Winter,20.0,0.0,60.0,20.0
2022-01-06,465,1140,539,492,36.02,35.73,19.0,100.0,0,Winter,0.0,0.0,60.0,40.0
2022-01-07,440,795,333,455,45.42,43.49,1.0,0.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-08,378,1161,461,448,33.29,37.77,23.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-09,493,1215,340,482,45.49,48.16,6.0,0.0,0,Winter,40.0,0.0,0.0,60.0
2022-01-10,267,1079,291,329,39.41,43.57,3.0,0.0,0,Winter,100.0,0.0,0.0,0.0
2022-01-11,280,1457,379,355,41.32,38.59,5.0,0.0,0,Winter,60.0,0.0,0.0,40.0
2022-01-12,487,1300,852,489,44.11,50.66,4.0,0.0,0,Winter,0.0,0.0,80.0,20.0
2022-01-13,465,1147,604,615,42.48,39.7,18.0,100.0,0,Winter,100.0,0.0,0.0,0.0
2022-01-14,636,1262,1090,805,47.28,49.07,20.0,100.0,0,Winter,40.0,0.0,20.0,40.0
2022-01-15,544,1331,161,690,44.36,43.37,17.0,100.0,0,Winter,0.0,0.0,40.0,60.0
2022-01-16,471,1721,394,529,39.79,43.96,18.0,100.0,0,Winter,40.0,0.0,40.0,20.0
2022-01-17,609,2033,1108,643,43.48,44.24,13.0,100.0,0,Winter,20.0,0.0,40.0,40.0
