Model,Fold,Start Date,End Date,MAE,RMSE,MAPE,Bias
Seasonal Naive (lag 7),1,2023-07-19,2023-08-15,796.1785714285714,990.9088721255566,7.838231253365531,-181.67857142857142
Seasonal Naive (lag 7),2,2023-08-16,2023-09-12,890.2857142857143,1175.561355268197,9.524353007082619,812.2142857142857
Seasonal Naive (lag 7),3,2023-09-13,2023-10-10,919.9285714285714,1481.6868523987882,13.211297322284787,554.2857142857143
Seasonal Naive (lag 7),4,2023-10-11,2023-11-07,1734.5714285714287,2200.9697862533235,23.827444852231366,-207.5
Seasonal Naive (lag 7),5,2023-11-08,2023-12-05,590.5357142857143,749.0834161064536,6.39322782253553,-43.964285714285715
Seasonal Naive (lag 7),6,2023-12-06,2024-01-02,1486.4642857142858,1980.6071309431502,21.106992243191765,725.0357142857143
Linear Trend (28 days),1,2023-07-19,2023-08-15,511.387403237157,665.8090319485469,5.001621628411651,-51.23070607553297
Linear Trend (28 days),2,2023-08-16,2023-09-12,1049.1808976464165,1250.6057375063879,11.330828688061736,1041.4620963327875
Linear Trend (28 days),3,2023-09-13,2023-10-10,947.7063492063495,1192.286591787567,11.96194733877967,-300.43650793650875
Linear Trend (28 days),4,2023-10-11,2023-11-07,2152.097505668934,2614.782591649343,26.259539983806345,-1365.8601532567047
Linear Trend (28 days),5,2023-11-08,2023-12-05,2645.2062123700057,2949.0926254782325,28.892313956534316,2645.2062123700057
Linear Trend (28 days),6,2023-12-06,2024-01-02,1290.2831730393307,1826.7455898091227,18.754898606832906,593.2452107279704
Linear Trend (56 days),1,2023-07-19,2023-08-15,551.6214090420862,699.8427454202256,5.536003161672986,243.05239234449826
Linear Trend (56 days),2,2023-08-16,2023-09-12,803.7665999414114,994.2815949925358,8.719842445996948,765.3665071770328
Linear Trend (56 days),3,2023-09-13,2023-10-10,829.6595571721513,1315.7433442221109,11.870613165386901,441.6194976076562
Linear Trend (56 days),4,2023-10-11,2023-11-07,1780.8481886534519,1873.24843159836,24.62103285394901,-79.12484620642509
Linear Trend (56 days),5,2023-11-08,2023-12-05,2163.4161995898835,2213.260565438022,23.288127760809722,-2163.4161995898835
Linear Trend (56 days),6,2023-12-06,2024-01-02,2503.4593692022277,3228.53044356747,35.87827813581966,2426.5951298701316
Linear Trend (84 days),1,2023-07-19,2023-08-15,1801.111130235228,1937.249642825386,18.041638098191726,1801.111130235228
Linear Trend (84 days),2,2023-08-16,2023-09-12,867.1901893287447,1060.2119915402263,9.396443544106488,844.1210944618825
Linear Trend (84 days),3,2023-09-13,2023-10-10,1010.257253744872,1537.9842327849562,14.466459428644765,845.3690830549094
Linear Trend (84 days),4,2023-10-11,2023-11-07,1683.45288042928,1833.2856994255933,24.73729692861655,453.8888613276648
Linear Trend (84 days),5,2023-11-08,2023-12-05,2485.212822719451,2536.015328014183,26.780568174180857,-2485.212822719451
Linear Trend (84 days),6,2023-12-06,2024-01-02,1336.8446101332097,1806.5121958872514,18.881621756523142,350.4028078701362
