Date,Units Sold,Inventory Level,Units Ordered,Demand,Price,Competitor Pricing,Discount,Promotion,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny,DayOfWeek,DayOfMonth,Month,WeekOfYear,IsWeekend,UnitsSold_Lag_1,UnitsSold_Lag_7,UnitsSold_Lag_14,UnitsSold_Lag_21,UnitsSold_Lag_28,UnitsSold_RollingMean_7,UnitsSold_RollingMean_14,UnitsSold_RollingMean_28,UnitsSold_RollingStd_7,UnitsSold_RollingStd_14,UnitsSold_RollingStd_28
2022-01-29,9655,28841,10407,11064,73.5,74.52,4.85,0.0,0,Winter,20.0,0.0,0.0,80.0,5,29,1,4,1,8945.0,9908.0,9566.0,9980.0,8601.0,9053.857142857143,9268.714285714286,9187.714285714286,480.7429765725251,501.4933742290178,897.6309914577355
2022-01-30,7992,28792,7351,9553,69.29,71.37,5.25,0.0,0,Winter,40.0,0.0,60.0,0.0,6,30,1,4,1,9655.0,8721.0,9218.0,9661.0,7684.0,9017.714285714286,9275.07142857143,9225.357142857143,410.1527009483661,506.094771344675,894.2090324140067
2022-01-31,8592,31220,7837,10028,70.41,71.88,5.3,0.0,0,Winter,60.0,0.0,0.0,40.0,0,31,1,5,0,7992.0,8822.0,10074.0,9928.0,5965.0,8913.57142857143,9187.5,9236.357142857143,562.3583842897281,611.7671439866148,876.2602443755031
2022-02-01,9599,32532,9636,10791,67.29,67.56,10.85,50.0,0,Winter,0.0,0.0,100.0,0.0,1,1,2,5,0,8592.0,8434.0,9444.0,9957.0,7859.0,8880.714285714286,9081.642857142857,9330.17857142857,575.1735141925193,573.6003174474581,614.5885135643945
2022-02-02,10746,31592,15414,12698,69.84,73.79,11.7,50.0,0,Winter,40.0,0.0,0.0,60.0,2,2,2,5,0,9599.0,9271.0,8689.0,9279.0,9621.0,9047.142857142857,9092.714285714286,9392.32142857143,592.6548823082551,582.5583402374567,544.2692725161804
2022-02-03,10531,28180,15522,12779,69.52,71.78,13.05,60.0,0,Winter,80.0,0.0,0.0,20.0,3,3,2,5,0,10746.0,9276.0,9489.0,9904.0,9503.0,9257.857142857143,9239.642857142857,9432.5,878.6958951710656,716.8306963661283,600.405264368562
2022-02-04,9757,28688,7278,11363,71.99,73.43,7.1,20.0,0,Winter,20.0,0.0,40.0,40.0,4,4,2,5,0,10531.0,8945.0,9905.0,9507.0,10045.0,9437.142857142857,9314.07142857143,9469.214285714286,1002.3471502048656,794.5908927323472,635.2930124282915
2022-02-05,10085,28893,9937,11914,70.18,71.98,9.75,35.0,0,Winter,40.0,0.0,0.0,60.0,5,5,2,5,1,9757.0,9655.0,9908.0,9566.0,9980.0,9553.142857142857,9303.5,9458.92857142857,982.6928018751076,787.0732299035274,627.9140616223452
2022-02-06,9298,35141,8468,11354,69.18,71.0,8.6,25.0,0,Winter,40.0,0.0,20.0,40.0,6,6,2,5,1,10085.0,7992.0,8721.0,9218.0,9661.0,9614.57142857143,9316.142857142857,9462.67857142857,1003.3438854056766,798.8636022157078,631.4448483920414
2022-02-07,9472,37739,9065,11024,69.54,70.93,9.4,35.0,0,Winter,0.0,0.0,60.0,40.0,0,7,2,6,0,9298.0,8592.0,8822.0,10074.0,9928.0,9801.142857142857,9357.357142857143,9449.714285714286,737.5647832725055,780.4699380346601,630.9484839652054
2022-02-08,10074,34732,6623,11473,68.97,70.37,10.05,40.0,0,Winter,0.0,0.0,60.0,40.0,1,8,2,6,0,9472.0,9599.0,8434.0,9444.0,9957.0,9926.857142857143,9403.785714285714,9433.42857142857,547.6755208976258,765.3601644446122,623.9926654703946
2022-02-09,10699,34123,11539,12391,72.12,73.3,8.8,30.0,0,Winter,20.0,0.0,0.0,80.0,2,9,2,6,0,10074.0,10746.0,9271.0,8689.0,9279.0,9994.714285714286,9520.92857142857,9437.607142857143,529.4052368100591,730.2096078719965,628.0074509634497
2022-02-10,9761,34083,12189,11510,70.44,71.73,8.85,30.0,0,Winter,40.0,0.0,20.0,40.0,3,10,2,6,0,10699.0,10531.0,9276.0,9489.0,9904.0,9988.0,9622.92857142857,9488.32142857143,518.4740430661341,789.9080242744662,670.6150330008821
2022-02-11,9615,31455,8952,11491,72.4,73.73,6.8,15.0,0,Winter,20.0,0.0,20.0,60.0,4,11,2,6,0,9761.0,9757.0,8945.0,9905.0,9507.0,9878.0,9657.57142857143,9483.214285714286,462.75839628616416,784.1366358845044,667.8710430605087
