Date,Units Sold,Inventory Level,Units Ordered,Demand,Price,Competitor Pricing,Discount,Promotion,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny,DayOfWeek,DayOfMonth,WeekOfYear,Month,IsWeekend,UnitsSold_Lag_1,UnitsSold_Lag_7,UnitsSold_Lag_14,UnitsSold_Lag_21,UnitsSold_Lag_28,UnitsSold_RollingMean_7,UnitsSold_RollingMean_14,UnitsSold_RollingMean_28,UnitsSold_RollingStd_7,UnitsSold_RollingStd_14,UnitsSold_RollingStd_28
2022-01-29,494,1328,1089,662,54.51,52.13,3.0,0.0,0,Winter,20.0,0.0,0.0,80.0,5,29,4,1,1,339.0,494.0,544.0,378.0,509.0,444.85714285714283,474.7857142857143,440.67857142857144,78.94181099904863,79.69381654560408,105.33264893287804
2022-01-30,422,1472,683,504,45.13,47.62,4.0,0.0,0,Winter,40.0,0.0,60.0,0.0,6,30,4,1,1,494.0,429.0,471.0,493.0,258.0,444.85714285714283,471.2142857142857,440.14285714285717,78.94181099904864,77.44196692852167,105.00995165740221
2022-01-31,455,1510,441,548,49.39,45.19,5.0,0.0,0,Winter,60.0,0.0,0.0,40.0,0,31,5,1,0,422.0,397.0,609.0,267.0,208.0,443.85714285714283,467.7142857142857,446.0,79.22000709296557,78.55172580137007,98.86841236190133
2022-02-01,494,1828,141,527,43.02,45.15,4.0,0.0,0,Winter,0.0,0.0,100.0,0.0,1,1,5,2,0,455.0,577.0,545.0,280.0,375.0,452.14285714285717,456.7142857142857,454.82142857142856,76.48840559507163,67.20854864516131,87.17417795188724
2022-02-02,743,2006,341,752,47.09,47.82,17.0,100.0,0,Winter,40.0,0.0,0.0,60.0,2,2,5,2,0,494.0,482.0,392.0,487.0,431.0,440.2857142857143,453.07142857142856,459.07142857142856,58.13981506023293,63.3251247813333,86.03183242542376
2022-02-03,649,1730,1233,769,45.31,48.76,22.0,100.0,0,Winter,80.0,0.0,0.0,20.0,3,3,5,2,0,743.0,396.0,441.0,465.0,465.0,477.57142857142856,478.14285714285717,470.2142857142857,129.3868323321673,97.53094746943512,101.13993135396977
2022-02-04,571,1439,728,665,51.57,50.15,6.0,0.0,0,Winter,20.0,0.0,40.0,40.0,4,4,5,2,0,649.0,339.0,531.0,636.0,440.0,513.7142857142857,493.0,476.7857142857143,137.86190467966398,106.83632341109458,106.61782115743968
2022-02-05,509,976,155,592,46.04,47.98,7.0,0.0,0,Winter,40.0,0.0,0.0,60.0,5,5,5,2,1,571.0,494.0,494.0,544.0,378.0,546.8571428571429,495.85714285714283,481.4642857142857,114.82077130819809,108.45336264096132,107.81138610343983
2022-02-06,636,1987,735,710,49.47,52.45,5.0,0.0,0,Winter,40.0,0.0,20.0,40.0,6,6,5,2,1,509.0,422.0,429.0,471.0,493.0,549.0,496.92857142857144,486.14285714285717,113.80538944473003,108.50768443947912,105.98207894828758
2022-02-07,562,1905,960,601,42.78,43.24,17.0,100.0,0,Winter,0.0,0.0,60.0,40.0,0,7,6,2,0,636.0,455.0,397.0,609.0,267.0,579.5714285714286,511.7142857142857,491.25,102.14998310141347,112.56685437239815,109.70486501248436
2022-02-08,459,1488,0,482,42.08,43.49,5.0,0.0,0,Winter,0.0,0.0,60.0,40.0,1,8,6,2,0,562.0,494.0,577.0,545.0,280.0,594.8571428571429,523.5,501.7857142857143,87.33351508523445,108.18484893210105,101.20728898609701
2022-02-09,634,1853,959,707,51.54,52.65,6.0,0.0,0,Winter,20.0,0.0,0.0,80.0,2,9,6,2,0,459.0,743.0,482.0,392.0,487.0,589.8571428571429,515.0714285714286,508.17857142857144,94.75658037207515,108.29266917849144,91.9049644294175
2022-02-10,516,1881,125,589,51.11,52.43,3.0,0.0,0,Winter,40.0,0.0,20.0,40.0,3,10,6,2,0,634.0,649.0,396.0,441.0,465.0,574.2857142857143,525.9285714285714,513.4285714285714,71.49758570682488,112.26854089514686,94.80327724114491
2022-02-11,485,1779,820,613,38.2,42.26,19.0,100.0,0,Winter,20.0,0.0,20.0,60.0,4,11,6,2,0,516.0,571.0,339.0,531.0,636.0,555.2857142857143,534.5,515.25,65.77667845499214,105.99110993199086,94.32710030448229
2022-02-12,524,2080,416,552,43.86,44.1,8.0,0.0,0,Winter,20.0,0.0,40.0,40.0,5,12,6,2,1,485.0,509.0,494.0,494.0,544.0,543.0,544.9285714285714,509.85714285714283,70.23294573536455,91.46286702239345,91.44021089932032
2022-02-13,239,1721,0,293,38.16,39.89,7.0,0.0,0,Winter,40.0,0.0,60.0,0.0,6,13,6,2,1,524.0,636.0,422.0,429.0,471.0,545.1428571428571,547.0714285714286,509.14285714285717,69.24456313537922,90.5245094611774,91.24152493802306
2022-02-14,420,2310,382,479,36.11,35.96,20.0,100.0,0,Winter,40.0,0.0,40.0,20.0,0,14,7,2,0,239.0,562.0,455.0,397.0,609.0,488.42857142857144,534.0,500.85714285714283,123.64041564533966,118.77710217040989,104.416443392761
2022-02-15,275,1984,0,367,40.79,41.89,6.0,0.0,0,Winter,20.0,0.0,80.0,0.0,1,15,7,2,0,420.0,459.0,494.0,577.0,545.0,468.14285714285717,531.5,494.10714285714283,121.18227121630795,120.91685000604592,103.26927738099876
2022-02-16,300,1709,77,327,40.98,40.77,6.0,0.0,0,Winter,40.0,0.0,20.0,40.0,2,16,7,2,0,275.0,634.0,743.0,482.0,392.0,441.85714285714283,515.8571428571429,484.4642857142857,141.71265360043236,138.9609005012988,110.68088333812642
2022-02-17,398,1774,94,398,41.24,40.58,4.0,0.0,0,Winter,40.0,0.0,20.0,40.0,3,17,7,2,0,300.0,516.0,649.0,396.0,441.0,394.14285714285717,484.2142857142857,481.17857142857144,120.94272552387257,133.59363099249248,114.81581178095921
2022-02-18,330,1470,440,360,43.91,44.09,4.0,0.0,0,Winter,0.0,0.0,0.0,100.0,4,18,7,2,0,398.0,485.0,571.0,339.0,531.0,377.2857142857143,466.2857142857143,479.64285714285717,108.73471430614055,126.42810579165514,115.65760908683248
2022-02-19,300,1221,50,318,40.16,45.42,6.0,0.0,0,Winter,40.0,0.0,0.0,60.0,5,19,7,2,1,330.0,524.0,509.0,494.0,494.0,355.14285714285717,449.07142857142856,472.4642857142857,98.4385232373117,127.47637143692666,118.55346727605492
2022-02-20,513,1157,893,535,41.11,41.19,16.0,100.0,0,Winter,40.0,0.0,20.0,40.0,6,20,7,2,1,300.0,239.0,636.0,422.0,429.0,323.14285714285717,434.14285714285717,465.5357142857143,65.19311970708824,132.07332295873627,122.83969745095146
