Date,Units Sold,Inventory Level,Units Ordered,Demand,Price,Competitor Pricing,Discount,Promotion,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny,DayOfWeek,DayOfMonth,WeekOfYear,Month,IsWeekend,UnitsSold_Lag_1,UnitsSold_Lag_7,UnitsSold_Lag_14,UnitsSold_Lag_21,UnitsSold_Lag_28,UnitsSold_RollingMean_7,UnitsSold_RollingMean_14,UnitsSold_RollingMean_28,UnitsSold_RollingStd_7,UnitsSold_RollingStd_14,UnitsSold_RollingStd_28
2022-01-29,369,948,359,439,79.89,82.8,4.0,0.0,0,Winter,20.0,0.0,0.0,80.0,5,29,4,1,1,437.0,400.0,434.0,478.0,480.0,353.7142857142857,419.2142857142857,492.32142857142856,63.25534044836076,85.63534368420615,125.50846321513282
2022-01-30,357,863,217,403,76.51,78.13,5.0,0.0,0,Winter,40.0,0.0,60.0,0.0,6,30,4,1,1,369.0,272.0,461.0,509.0,391.0,349.2857142857143,414.57142857142856,488.3571428571428,60.499901613457375,86.52942077317216,127.64685494253116
2022-01-31,409,1234,835,551,82.64,87.57,6.0,0.0,0,Winter,60.0,0.0,0.0,40.0,0,31,5,1,0,357.0,409.0,517.0,641.0,417.0,361.4285714285714,407.1428571428572,487.1428571428572,50.02618362037003,86.70095123500643,128.764129547794
2022-02-01,588,1008,647,603,91.18,85.35,4.0,0.0,0,Winter,0.0,0.0,100.0,0.0,1,1,5,2,0,409.0,312.0,550.0,698.0,645.0,361.4285714285714,399.4285714285714,486.8571428571428,50.02618362037003,80.776723880578,128.9342968726821
2022-02-02,696,995,954,816,82.26,89.38,21.0,100.0,0,Winter,40.0,0.0,0.0,60.0,2,2,5,2,0,588.0,351.0,498.0,652.0,644.0,400.8571428571428,402.1428571428572,484.82142857142856,94.00785174907536,86.65036476718223,126.7768683105256
2022-02-03,677,974,1184,989,94.29,96.11,16.0,100.0,0,Winter,80.0,0.0,0.0,20.0,3,3,5,2,0,696.0,295.0,435.0,417.0,702.0,450.1428571428572,416.2857142857143,486.6785714285714,141.8008328271599,115.01533581452298,129.54566006751466
2022-02-04,492,1144,0,540,81.58,84.37,6.0,0.0,0,Winter,20.0,0.0,40.0,40.0,4,4,5,2,0,677.0,437.0,498.0,720.0,522.0,504.7142857142857,433.57142857142856,485.7857142857143,145.59843667397234,134.5675205330677,128.08456614540293
2022-02-05,505,1635,746,749,85.71,84.7,16.0,100.0,0,Winter,40.0,0.0,0.0,60.0,5,5,5,2,1,492.0,369.0,400.0,434.0,478.0,512.5714285714286,433.1428571428572,484.7142857142857,142.79222334433703,134.35593207416076,127.89574954361372
2022-02-06,648,1790,259,656,90.55,94.06,6.0,0.0,0,Winter,40.0,0.0,20.0,40.0,6,6,5,2,1,505.0,357.0,272.0,461.0,509.0,532.0,440.6428571428572,485.6785714285714,128.543118576349,135.29091568960527,127.94502684426584
2022-02-07,633,1844,581,588,85.95,89.23,6.0,0.0,0,Winter,0.0,0.0,60.0,40.0,0,7,6,2,0,648.0,409.0,409.0,517.0,641.0,573.5714285714286,467.5,490.6428571428572,107.91486944633284,136.5524694872888,131.5298063067454
2022-02-08,435,1466,750,645,95.39,98.14,4.0,0.0,0,Winter,0.0,0.0,60.0,40.0,1,8,6,2,0,633.0,588.0,312.0,550.0,698.0,605.5714285714286,483.5,490.3571428571428,80.78130382470361,142.17797622373493,131.19937169161727
2022-02-09,585,1163,225,633,91.8,92.03,5.0,0.0,0,Winter,20.0,0.0,0.0,80.0,2,9,6,2,0,435.0,696.0,351.0,498.0,652.0,583.7142857142857,492.2857142857143,480.9642857142857,103.75887799077618,134.34996125013248,125.0536128412774
2022-02-10,339,1129,0,416,82.25,74.05,4.0,0.0,0,Winter,40.0,0.0,20.0,40.0,3,10,6,2,0,585.0,677.0,295.0,435.0,417.0,567.8571428571429,509.0,478.57142857142856,91.49577143494776,129.90292233344576,122.26971660179645
2022-02-11,498,1408,953,647,90.22,84.53,4.0,0.0,0,Winter,20.0,0.0,20.0,60.0,4,11,6,2,0,339.0,492.0,437.0,498.0,720.0,519.5714285714286,512.1428571428571,475.7857142857143,111.33411747656557,124.75752306149543,124.59099222622542
2022-02-12,521,1175,886,745,84.54,90.81,16.0,100.0,0,Winter,20.0,0.0,40.0,40.0,5,12,6,2,1,498.0,505.0,369.0,400.0,434.0,520.4285714285714,516.5,467.8571428571428,111.10934125574548,122.98389513077908,115.18285439721474
2022-02-13,330,1127,119,505,83.86,90.14,4.0,0.0,0,Winter,40.0,0.0,60.0,0.0,6,13,6,2,1,521.0,648.0,357.0,272.0,461.0,522.7142857142857,527.3571428571429,470.9642857142857,110.90343289804612,115.43869977868518,115.40892902835084
2022-02-14,533,1309,930,711,82.62,82.65,17.0,100.0,0,Winter,40.0,0.0,40.0,20.0,0,14,7,2,0,330.0,633.0,409.0,409.0,517.0,477.2857142857143,525.4285714285714,466.2857142857143,116.0412488237325,118.68362228126593,118.4432532177509
2022-02-15,657,1794,315,667,92.41,96.39,4.0,0.0,0,Winter,20.0,0.0,80.0,0.0,1,15,7,2,0,533.0,435.0,588.0,312.0,550.0,463.0,534.2857142857143,466.8571428571428,98.50719093886818,113.8551229018221,118.73522185961896
2022-02-16,636,1692,1065,795,82.33,93.45,19.0,100.0,0,Winter,40.0,0.0,20.0,40.0,2,16,7,2,0,657.0,585.0,696.0,351.0,498.0,494.7142857142857,539.2142857142857,470.6785714285714,121.129014258509,117.78479630987287,123.15003002102726
