Lag,Autocorrelation
1,0.827884756582744
2,0.7890130177385427
3,0.7457784192821022
4,0.7066805598713716
5,0.6722174773787042
6,0.6349767260911671
7,0.5959924779780901
8,0.5555077362760994
9,0.5257755039522577
10,0.45612104414082194
11,0.43211311411208636
12,0.3899239366264609
13,0.3606184409043917
14,0.31361660094174826
15,0.27168288567955073
16,0.23210433756157772
17,0.19809601639202196
18,0.1540960620620992
19,0.12553343525508492
20,0.09655840355523318
21,0.06317024692395229
22,0.03967799956213358
23,-0.0004533812878758059
24,-0.03039878991938249
25,-0.05749708663544359
26,-0.09631340907822475
27,-0.12426735554467429
28,-0.14929690172011
