Feature,Selected,Tentative,Ranking,Status
Competitor Pricing,True,False,1,Selected
Demand,True,False,1,Selected
Epidemic,True,False,1,Selected
lag_7,True,False,1,Selected
rolling_mean_14,True,False,1,Selected
rolling_mean_28,True,False,1,Selected
rolling_mean_7,True,False,1,Selected
lag_28,False,True,2,Tentative
lag_14,False,False,3,Rejected
lag_1,False,False,4,Rejected
week_of_year,False,False,5,Rejected
Weather_Sunny,False,False,6,Rejected
Weather_Snowy,False,False,7,Rejected
month,False,False,8,Rejected
day_of_week,False,False,9,Rejected
Weather_Cloudy,False,False,10,Rejected
Weather_Rainy,False,False,11,Rejected
is_weekend,False,False,12,Rejected
Season_Spring,False,False,13,Rejected
Season_Autumn,False,False,14,Rejected
Season_Summer,False,False,15,Rejected
Season_Winter,False,False,15,Rejected
