Date,Actual,Forecast,Error,Absolute_Error
2024-01-03,6268,10070,3802,3802
2024-01-04,5661,9331,3670,3670
2024-01-05,6598,8963,2365,2365
2024-01-06,6655,9324,2669,2669
2024-01-07,6003,9540,3537,3537
2024-01-08,5620,9892,4272,4272
2024-01-09,8533,9082,549,549
2024-01-10,8277,10231,1954,1954
2024-01-11,9323,10022,699,699
2024-01-12,8508,9235,727,727
2024-01-13,9926,10113,187,187
2024-01-14,8990,9583,593,593
2024-01-15,8671,9309,638,638
2024-01-16,9078,9644,566,566
2024-01-17,8736,9756,1020,1020
2024-01-18,9429,10303,874,874
2024-01-19,7990,10117,2127,2127
2024-01-20,10914,10730,-184,184
2024-01-21,8563,9396,833,833
2024-01-22,9639,10261,622,622
2024-01-23,8370,10122,1752,1752
2024-01-24,10051,9351,-700,700
2024-01-25,10028,9655,-373,373
2024-01-26,9184,9345,161,161
2024-01-27,9598,8473,-1125,1125
2024-01-28,9942,9170,-772,772
2024-01-29,8802,5636,-3166,3166
2024-01-30,8425,5981,-2444,2444
