Feature,Selected,Tentative,Ranking
Demand,True,False,1
Competitor Pricing,True,False,1
Epidemic,True,False,1
UnitsSold_Lag_7,True,False,1
UnitsSold_Lag_28,True,False,1
UnitsSold_RollingMean_7,True,False,1
UnitsSold_RollingMean_14,True,False,1
UnitsSold_RollingStd_7,False,False,2
UnitsSold_RollingMean_28,False,False,3
UnitsSold_RollingStd_28,False,False,3
UnitsSold_Lag_14,False,False,5
UnitsSold_Lag_1,False,False,6
UnitsSold_Lag_21,False,False,7
UnitsSold_RollingStd_14,False,False,7
WeekOfYear,False,False,9
DayOfMonth,False,False,10
Weather_Sunny,False,False,11
DayOfWeek,False,False,12
Weather_Cloudy,False,False,13
Weather_Snowy,False,False,14
Month,False,False,14
Weather_Rainy,False,False,16
IsWeekend,False,False,17
Seasonality_Autumn,False,False,17
Seasonality_Spring,False,False,19
Seasonality_Winter,False,False,20
Seasonality_Summer,False,False,21
