Model,Fold,Train_Start,Train_End,Test_Start,Test_End,MAE,RMSE,MAPE,Bias
Random Forest,1,2022-01-29,2023-08-15,2023-08-16,2023-09-12,203.5372756534029,256.57519510919184,2.101735944668608,-12.340769539401922
HistGradientBoosting,1,2022-01-29,2023-08-15,2023-08-16,2023-09-12,219.55507537672727,274.9296737390979,2.258204369924335,-24.163653984571088
XGBoost,1,2022-01-29,2023-08-15,2023-08-16,2023-09-12,217.84605189732142,264.22871810635195,2.271006563022421,-13.031529017857142
Random Forest,2,2022-01-29,2023-09-12,2023-09-13,2023-10-10,196.2494626637777,273.24159043855406,2.173239640600581,-102.10413624440103
HistGradientBoosting,2,2022-01-29,2023-09-12,2023-09-13,2023-10-10,186.0201019156938,267.4074751130705,2.1033193517274444,-84.44003534492052
XGBoost,2,2022-01-29,2023-09-12,2023-09-13,2023-10-10,205.64481026785714,283.56211016308157,2.332220255340303,-78.58771623883929
Random Forest,3,2022-01-29,2023-10-10,2023-10-11,2023-11-07,174.698049436511,214.5800486450212,2.501735823822749,21.166568516819552
HistGradientBoosting,3,2022-01-29,2023-10-10,2023-10-11,2023-11-07,178.32848235470323,223.71345037099934,2.499031928776751,17.21294495302917
XGBoost,3,2022-01-29,2023-10-10,2023-10-11,2023-11-07,188.63657924107142,236.22725910069659,2.6233386257521496,30.706996372767858
Random Forest,4,2022-01-29,2023-11-07,2023-11-08,2023-12-05,141.39572289658022,175.07520248727235,1.5288508056702246,-12.470970788940187
HistGradientBoosting,4,2022-01-29,2023-11-07,2023-11-08,2023-12-05,192.63123169209686,223.6951323390533,2.070610251446825,15.237421268194923
XGBoost,4,2022-01-29,2023-11-07,2023-11-08,2023-12-05,163.70901925223214,203.52349609542512,1.7723824156149834,12.982456752232142
Random Forest,5,2022-01-29,2023-12-05,2023-12-06,2024-01-02,225.16624356234024,282.9377035283897,2.5320233899226543,-43.31410023727267
HistGradientBoosting,5,2022-01-29,2023-12-05,2023-12-06,2024-01-02,242.79715805433884,316.43556372164363,2.706502465399973,-27.501697980004792
XGBoost,5,2022-01-29,2023-12-05,2023-12-06,2024-01-02,236.54682268415178,289.35279379192957,2.657682162433036,-20.141165597098215
