Date,Actual,Forecast,Error,Absolute_Error
2024-01-03,314,352,38,38
2024-01-04,143,227,84,84
2024-01-05,379,380,1,1
2024-01-06,312,304,-8,8
2024-01-07,415,390,-25,25
2024-01-08,306,390,84,84
2024-01-09,396,379,-17,17
2024-01-10,473,438,-35,35
2024-01-11,668,671,3,3
2024-01-12,564,617,53,53
2024-01-13,479,611,132,132
2024-01-14,660,577,-83,83
2024-01-15,587,624,37,37
2024-01-16,531,530,-1,1
2024-01-17,493,451,-42,42
2024-01-18,676,757,81,81
2024-01-19,519,455,-64,64
2024-01-20,706,689,-17,17
2024-01-21,628,589,-39,39
2024-01-22,682,540,-142,142
2024-01-23,433,488,55,55
2024-01-24,526,556,30,30
2024-01-25,526,543,17,17
2024-01-26,561,636,75,75
2024-01-27,544,536,-8,8
2024-01-28,439,604,165,165
2024-01-29,443,453,10,10
2024-01-30,502,417,-85,85
