Date,Actual,Forecast,Error,Absolute_Error
2024-01-03,6268,6166,-102,102
2024-01-04,5661,5562,-99,99
2024-01-05,6598,6819,221,221
2024-01-06,6655,6355,-300,300
2024-01-07,6003,6072,69,69
2024-01-08,5620,6115,495,495
2024-01-09,8533,8586,53,53
2024-01-10,8277,8585,308,308
2024-01-11,9323,9234,-89,89
2024-01-12,8508,8974,466,466
2024-01-13,9926,9834,-92,92
2024-01-14,8990,8706,-284,284
2024-01-15,8671,8946,275,275
2024-01-16,9078,8943,-135,135
2024-01-17,8736,8606,-130,130
2024-01-18,9429,9625,196,196
2024-01-19,7990,7606,-384,384
2024-01-20,10914,10715,-199,199
2024-01-21,8563,8910,347,347
2024-01-22,9639,10195,556,556
2024-01-23,8370,8176,-194,194
2024-01-24,10051,9572,-479,479
2024-01-25,10028,9978,-50,50
2024-01-26,9184,9428,244,244
2024-01-27,9598,9809,211,211
2024-01-28,9942,9888,-54,54
2024-01-29,8802,8819,17,17
2024-01-30,8425,8504,79,79
